Date,Sales
2024-01-01,96.0
2024-01-02,109.73862147383944
2024-01-03,93.42565048370508
2024-01-04,111.01046650802712
2024-01-05,121.44437459977195
2024-01-06,102.68152274297516
2024-01-07,108.67976565173846
2024-01-08,114.40145873871522
2024-01-09,120.81416729563624
2024-01-10,112.8912775257338
2024-01-11,118.61249791691947
2024-01-12,109.96424151042405
2024-01-13,122.93988186340059
2024-01-14,122.53987788345039
2024-01-15,112.77176518333415
2024-01-16,122.65001411873524
2024-01-17,102.19575718347973
2024-01-18,106.43639089777223
2024-01-19,106.40505968941305
2024-01-20,111.14003149107828
2024-01-21,110.68397681668831
2024-01-22,89.08316489823325
2024-01-23,78.38659202690825
2024-01-24,96.64505851960467
2024-01-25,107.91021169964179
2024-01-26,87.23357292087616
2024-01-27,78.66556696493001
2024-01-28,97.25457209657348
2024-01-29,93.04600867311953
2024-01-30,93.08148347737728
2024-01-31,79.39800589394225
2024-02-01,95.0272906951566
2024-02-02,75.99516057144581
2024-02-03,74.32105966167047
2024-02-04,87.01768724801855
2024-02-05,94.09075851620351
2024-02-06,66.53889688796973
2024-02-07,89.35365995423602
2024-02-08,90.51969852032724
2024-02-09,85.01504576706529
2024-02-10,79.8115310802588
2024-02-11,103.87531075252227
2024-02-12,87.16750555961521
2024-02-13,83.64493320010037
2024-02-14,89.26092180000383
2024-02-15,115.96618915698922
2024-02-16,104.70977116010219
2024-02-17,113.43998189472953
2024-02-18,121.10538734550525
2024-02-19,102.65577435372583
2024-02-20,102.04309657523683
2024-02-21,123.22237961803714
2024-02-22,113.15256830785441
2024-02-23,102.79730012018746
2024-02-24,139.12559020824935
2024-02-25,119.11241512167653
2024-02-26,115.73918421941815
2024-02-27,146.994089895931
2024-02-28,119.87233002282393
2024-02-29,112.37619841540759
2024-03-01,121.51504161986455
2024-03-02,95.30508283511962
2024-03-03,131.76911628651868
2024-03-04,101.93607780896282
2024-03-05,116.84049972921548
2024-03-06,101.52186031676965
2024-03-07,103.02384005886957
2024-03-08,108.39349877060567
2024-03-09,85.68038904237787
2024-03-10,93.9356227263525
2024-03-11,101.21090804822953
2024-03-12,93.55757548402138
2024-03-13,95.02561075319932
2024-03-14,94.66271314549931
2024-03-15,106.51339692142203
2024-03-16,79.6181527150029
2024-03-17,101.0126847370558
2024-03-18,73.72723814909882
2024-03-19,90.78602927946103
2024-03-20,81.20678941563959
2024-03-21,64.00043076733265
2024-03-22,95.17084089301814
2024-03-23,75.71480946284427
2024-03-24,95.62208873753428
2024-03-25,86.87558662395276
2024-03-26,73.45168867038954
2024-03-27,89.32070293554257
2024-03-28,73.44741935038168
2024-03-29,91.79177303516238
2024-03-30,97.30959907546355
2024-03-31,101.95346453814079
2024-04-01,93.67356205297602
2024-04-02,105.41864812597781
2024-04-03,109.13700850759429
2024-04-04,90.7774324294166
2024-04-05,102.29017735587954
2024-04-06,126.62790607615189
2024-04-07,122.74657848248849
2024-04-08,117.60628123496986
2024-04-09,107.17197968270467
2024-04-10,111.41417787616862
2024-04-11,123.30947423680959
2024-04-12,136.84100241574606
2024-04-13,117.99874903629018
2024-04-14,113.77974233439386
2024-04-15,131.18810814324925
2024-04-16,107.23499216735914
2024-04-17,135.93835001034333
2024-04-18,117.32260891211493
2024-04-19,100.41820756790716
2024-04-20,124.26102269842835
2024-04-21,114.89169317390079
2024-04-22,102.35485442470574
2024-04-23,113.69829756145324
2024-04-24,100.97206904568276
2024-04-25,108.22752787235864
2024-04-26,101.51637802575249
2024-04-27,106.88969443612572
2024-04-28,86.39696078706247
2024-04-29,90.08513730005167
2024-04-30,84.99777605817832
2024-05-01,77.17420053520487
2024-05-02,51.6487647867653
2024-05-03,92.45020625965435
2024-05-04,67.60110441153762
2024-05-05,88.11745534006039
2024-05-06,84.00837043485224
2024-05-07,58.27590472947507
2024-05-08,81.91501818696544
2024-05-09,81.91367064830693
2024-05-10,92.25304865511316
2024-05-11,82.90791987344406
2024-05-12,97.8471084418202
2024-05-13,86.03408228842798
2024-05-14,79.42764135313855
2024-05-15,94.98269374903168
2024-05-16,101.65110524144039
2024-05-17,101.38260604131034
2024-05-18,100.12573782993701
2024-05-19,100.82882317422802
2024-05-20,83.44093906982667
2024-05-21,121.91287627167063
2024-05-22,111.19806633930558
2024-05-23,114.25345893249137
2024-05-24,105.04033282986566
2024-05-25,114.52502539201069
2024-05-26,122.6795667266808
2024-05-27,115.48220660925234
2024-05-28,119.91782423182214
2024-05-29,124.97821306175561
2024-05-30,100.66223544327868
2024-05-31,138.97584402959785
2024-06-01,114.93196964179256
2024-06-02,115.55027766708781
2024-06-03,134.85679758568335
2024-06-04,102.8834326054248
2024-06-05,95.66735864223313
2024-06-06,92.25032396880742
2024-06-07,87.67786272540893
2024-06-08,114.998437109275
2024-06-09,110.26252440282376
2024-06-10,83.52166603998131
2024-06-11,98.82749662512556
2024-06-12,99.23077119680534
2024-06-13,82.78040906146363
2024-06-14,95.52257221023291
